file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_PC0181_0140_925819_to_928667,དམིགས་བསལ་གི་སྤྲོ་སྣང་དམིགས་བསལ་བ་ཅིག་ག་རེ་ལབ་ན། གློག་བརྙན་ལྟ་བ་ནང་བཞིན་ཡོད་རེད།  ,dmigs bsal gi spro snang dmigs bsal ba cig ga re lab na/_glog brnyan lta ba nang bzhin yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0181_0140_925819_to_928667.wav,STT_PC,2,82,2.848,wav16k/STT_PC0181_0140_925819_to_928667.wav,དམིགས་བསལ་གི་སྤྲོ་སྣང་དམིགས་བསལ་བ་ཅིག་ག་རེ་བ་ན། གློག་བརྙན་ལྟང་པ་ནང་བཞིན་ཡོད་རེད།
STT_PC0181_0141_929659_to_932027,བརྩམས་སྒྲུང་གི་ནང་ལོགས་ལ་ཡ་ཀློག་གིན་ཀློག་གིན་ཀློག་གིན་ཀློག་གིན་དོ་སྣང་།  ,brtsams sgrung gi nang logs la ya klog gin klog gin klog gin klog gin do snang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0181_0141_929659_to_932027.wav,STT_PC,2,73,2.368,wav16k/STT_PC0181_0141_929659_to_932027.wav,རྩོམ་རླུང་གི་ནང་ལོགས་ལ་ཡ། ཀློག་གི་ཀློག་གི་ཀློག་གིན་ཀློག་གི་ཐོག་ན།
STT_PC0181_0142_943857_to_946001,ང་ཚོས་བཤད་ནས་འདུག་སེ་བཤད་ནས་འཚམ་པོ་སེ་ད་གེ་ཡོད་མ་རེད་དེ།  ,nga tshos bshad nas 'dug se bshad nas 'tsham po se da ge yod ma red de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0181_0142_943857_to_946001.wav,STT_PC,2,58,2.144,wav16k/STT_PC0181_0142_943857_to_946001.wav,ང་ཚོས་ཤེས་ནས། སྡུག་བཤས་ནས་འཚམས་པོ་སེ་ད་གེ་ཡོད་མ་རེད་དེ།
STT_PC0181_0143_947729_to_950001,ཁྱེད་རང་ཆུ་རྒལ་སྟངས་ཤེས་ཀི་ཡོད་ན། ཤེས་ཀི་མེད་ན་ཁྱེད་རང་ཅིག་གཡུགས་དང་ཟེར།  ,khyed rang chu rgal stangs shes ki yod na/_shes ki med na khyed rang cig g.yugs dang zer/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0181_0143_947729_to_950001.wav,STT_PC,2,74,2.272,wav16k/STT_PC0181_0143_947729_to_950001.wav,ཁྱེད་རང་ཆུ་རྒལ་སྟངས་ཤེས་ཀི་ཡོད་ེ་ན། ཤེས་ཀི་མེད་ན། ཁྱེད་རང་གཅིག་གིས་གཡུགས་ད་ཟེ།
STT_PC0181_0144_967121_to_969777,ལགས་སོ་བསོད་ནམས་ཚེ་བརྟན་ལགས། ཨེ་ནས་དེ་རིང་ང་ཚོའི་ལས་རིམ་འདིའི་ཐོག་ཕེབས་བྱས།  ,lags so bsod nams tshe brtan lags/_e nas de ring nga tsho'i las rim 'di'i thog phebs byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0181_0144_967121_to_969777.wav,STT_PC,2,77,2.656,wav16k/STT_PC0181_0144_967121_to_969777.wav,ལགས་སོ་བསོད་ནམས་ཚེ་བརྟན་ལགས། ཨེ་ནས་ད་རིང་ང་ཚོའི་ལས་རིམ་འདིའི་ཐོག་ཕེབས་བྱས།
STT_AB00473_0171_724189_to_725861,སྔ་ན་མེད་པའི་འུར་རྡོ་སྟེ།  ,snga na med pa'i 'ur rdo ste/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00473_0171_724189_to_725861.wav,STT_AB,2,27,1.672,wav16k/STT_AB00473_0171_724189_to_725861.wav,སྔ་ན་མེད་པའི་འུར་རྡོག་སྟེ།
STT_PC0182_0001_30_to_9717,ཕ་མ་མཉེས་ན་འདི་ཕྱི་གཉིས་ཀ་ཡོད། ཕ་མ་མ་མཉེས་འདི་ཕྱི་གཉིས་ཀ་མེད། ཕ་མ་ཡོད་དུས་བཀའ་དྲིན་མ་བསམ་པར། མེད་དུས་འགྱོད་པ་སྐྱེས་པ་མཐའ་མའི་མཐའ། ཞེས་པ་འདི་ནི་ཁ་ཆེ་ཕ་ལུའི་ནང་ལོགས་ཀི་ཚིགས་བཅད་ཤོ་ལོ་ཀ་གཅིག་རེད།  ,pha ma mnyes na 'di phyi gnyis ka yod/_pha ma ma mnyes 'di phyi gnyis ka med/_pha ma yod dus bka' drin ma bsam par/_med dus 'gyod pa skyes pa mtha' ma'i mtha'/_zhes pa 'di ni kha che pha lu'i nang logs ki tshigs bcad sho lo ka gcig red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0182_0001_30_to_9717.wav,STT_PC,2,194,9.687,wav16k/STT_PC0182_0001_30_to_9717.wav,ཕ་མ་གཉིས་རྣམས་འདི་ཕྱི་གཉིས་ཀ་ཡོད། ཕ་མ་མ་རཉེས་འདི་ཕྱི་གཉིས་ཀ་མེད། ཕ་མ་ཡོད་དུས་བཀའ་དྲིན་མ་བསམ་པར། མི་རིགས་འགྱོད་པ་སྐྱེས་པ་མཐའ་མའི་མཐའ་ཞེས་པ་འདི་ནི། ཁ་ཆེ་ཕ་ལུའི་ནང་ལོགས་ཀི་ཚིགས་བཅད་ཤོ་ལོ་ཀ་གཅིག་རེད།
STT_PC0182_0003_13337_to_16473,གལ་སྲིད་ང་རང་ཚོའི་མི་ཚེའི་ནང་ལོགས་ལ་ཡ་བྱ་བ་ལམ་འགྲོ་དང་། ལྟོ་གོས་གཏམ་གསུམ།  ,gal srid nga rang tsho'i mi tshe'i nang logs la ya bya ba lam 'gro dang /_lto gos gtam gsum/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0182_0003_13337_to_16473.wav,STT_PC,2,75,3.136,wav16k/STT_PC0182_0003_13337_to_16473.wav,གལ་སྲིད་ང་རང་ཚོའི་མི་ཚེའི་ནང་ལོགས་ལ་ཡ་བྱ་བ་ལམ་འགྲོ་དང་ལྟོ་གོས་གཏམ་གསུམ།
STT_PC0182_0004_17369_to_19961,མཚན་སྙན་གྲགས་སོགས་མི་ཚེ་དོན་དང་ལྡན་པ་ཅིག་དགོས་ཀི་ཡོད་ན།  ,mtshan snyan grags sogs mi tshe don dang ldan pa cig dgos ki yod na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0182_0004_17369_to_19961.wav,STT_PC,2,57,2.592,wav16k/STT_PC0182_0004_17369_to_19961.wav,མཚན་སྙན་གྲགས་སོགས་མི་ཚེ་དོན་དང་ལྡན་པ་ཞིག་གོ་གི་ཡོད་ན།
STT_PC0182_0005_20985_to_23065,ཕ་མའི་དྲིན་ལན་འཇལ་དགོས་ཀི་རེད་བྱས་གསུངས་གནང་པ་རེད།  ,pha ma'i drin lan 'jal dgos ki red byas gsungs gnang pa red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0182_0005_20985_to_23065.wav,STT_PC,2,52,2.08,wav16k/STT_PC0182_0005_20985_to_23065.wav,ཕ་མས་དྲིན་ལན་འཇལ་དགོས་ཀི་རེད་ཞེས་གསུངས་གནང་པ་རེད།
